Date,Genre,Title,Composer,Book,Page #,Notes
8/14/2022,Offertory,Partita on I Want to Walk as a Child of the Light - Cantabile,"Behnke, John",,,
8/14/2022,Postlude,Partita on I Want to Walk as a Child of the Light - Fantasia,"Behnke, John",,,
8/14/2022,Prelude,Partita on I Want to Walk as a Child of the Light - Theme,"Behnke, John",,,
8/21/2022,Offertory,Offertoire,Louis Raffy,"Church Organist's Library, Vol 2",41,
8/21/2022,Postlude,Echo Fanfare,Gilbert M. Martin,Organ Dedications,3,
8/21/2022,Prelude,Prelude in F Major,J.S. Bach,Acht Kleine Praeludium und Fuga,,
8/27/2022,Offertory,Schönster Herr Jesu,Hermann Schroeder,The Organists' Manual,132,
8/27/2022,Postlude,Nun lasst uns Gott dem Herren,Johann Pachelbel,"Church Organist's Library, Vol 1",78,
8/27/2022,Prelude,Praeludium,Hermann Schroeder,The Organists' Manual,144,
9/4/2022,Offertory,Nun bitten wir den heiligen Geist,Dietrich Buxtehude,The Organists' Manual,124,
9/4/2022,Postlude,Concluding Voluntary,R.G. Thompson,"Church Organist's Library, Vol 2",52,
9/4/2022,Prelude,Fugue in G minor,J.S. Bach,The Organists' Manual,164,
9/11/2022,Postlude,"Herr Jesu Christ, dich zu uns wend",Johann Gottfried Walther,The Organists' Manual,130,
9/11/2022,Prelude,Simple Gifts,Russell Schulz-Widmar,"Church Organist's Library, Vol 1",6,
9/18/2022,Postlude,"Vom Himmel hoch, da komm' ich her",Johann Pachelbel,The Organists' Manual,122,
9/18/2022,Prelude,Prélude modal,Jean Langlais,The Organists' Manual,118,
9/25/2022,Postlude,Toccata in Seven,John Rutter,,,
9/25/2022,Prelude,Voluntary V,John Stanley,The Organists' Manual,86,
10/2/2022,Postlude,Basse et Dessus de Trompette,Louis-Nicolas Clérambault,The Organists' Manual,88,
10/2/2022,Prelude,Solfeggietto,CPE Bach,,,Piano (Played on organ)
10/9/2022,Postlude,A Mighty Fortress,Calvin Hampton,"Church Organist's Library, Vol 2",37,
10/9/2022,Prelude,Voluntary in D major,William Boyce,"Church Organist's Library, Vol 2",55,
10/16/2022,Offertory,Offertoire,Léon Boëllmann,"Church Organist's Library, Vol 1",10,
10/16/2022,Postlude,"Dir, dir, Jehova, will ich singen",August Reinhard,"Church Organist's Library, Vol 2",30,
10/16/2022,Prelude,Liebestraum No. 3,Franz Liszt,,,Piano
10/23/2022,Postlude,Allegro maestoso from Sonata II,Felix Mendelssohn,The Organists' Manual,158,
10/30/2022,Postlude,Capriccio,Tarquinio Merula,"Church Organist's Library, Vol 2",60,
10/30/2022,Prelude,Berceuse,Louis Vierne,The Organists' Manual,126,
11/6/2022,Postlude,Sortie,Edmond-Jean-Louis Missa,"Church Organist's Library, Vol 2",86,
11/13/2022,Postlude,Deo Gratias,André Raison,A Catholic Organist's Book of Postludes,6,
11/13/2022,Prelude,Organ Piece in G major,Adolph Hesse,"Church Organist's Library, Vol 1",26,
11/20/2022,Postlude,Agnus Dei,André Raison,A Catholic Organist's Book of Postludes,7,
11/23/2022,Postlude,Allein Gott in der Höh sei Ehr,Friedrich Wilhelm Zachau,The Organists' Manual,75,
11/23/2022,Prelude,Nun danket alle Gott,Georg Friedrich Kaufmann,The Organists' Manual,76,
11/27/2022,Postlude,Magnificat: Plein jeu,Jean-Francois Dandrieu,"Church Organist's Library, Vol 3",23,
11/27/2022,Prelude,Ricercar pro Tempore Adventus,Johann Casper Ferd. Fischer,"Church Organist's Library, Vol 3",10,
12/4/2022,Postlude,"Wachet auf, ruft uns die Stimme",J.S. Bach,The Organists' Manual,174,
12/4/2022,Prelude,Deuxième Dimanche de l'Avent,Charles Alexis Chauvet,"Church Organist's Library, Vol 3",28,
12/11/2022,Postlude,Pastorale,David Schack,"Church Organist's Library, Vol 3",37,
12/18/2022,Postlude,"Improvisation on ""Blest be the King whose Coming""",Me,,,
12/18/2022,Prelude,D'ou vient cette troupe d'anges,Léon Roques,"Church Organist's Library, Vol 3",12,
12/24/2022,Offertory,Puer nobis nascitur,Nicolas Lebeque,"Church Organist's Library, Vol 3",20,
12/24/2022,Postlude,"Vom Hummel hoch, da komm ich her",Friedrich Wilhelm Zachau,"Church Organist's Library, Vol 3",18,
12/24/2022,Prelude,Noël provencal,Léon Roques,"Church Organist's Library, Vol 3",6,
12/25/2022,Offertory,Silent Night,Calvin Hampton,"Church Organist's Library, Vol 3",8,
12/25/2022,Postlude,In dulci jubilo,Friedrich Wilhelm Zachau,"Church Organist's Library, Vol 3",5,
12/25/2022,Prelude,Es ist ein Ros' entsprungen,Johannes Brahms,"Church Organist's Library, Vol 3",40,
1/1/2023,Postlude,Sussex Carol,Russell Schulz-Widmar,"Church Organist's Library, Vol 3",15,
1/1/2023,Prelude,"Angels We Have Heard on High - a ""Noel for the Flutes""",John R. Cowell,"Church Organist's Library, Vol 3",31,
1/8/2023,Offertory,Offertoire,Louis Raffy,"Church Organist's Library, Vol 2",41,
1/8/2023,Postlude,Fanfare,Jacques Lemmens,"Church Organist's Library, Vol 1",160,
1/8/2023,Prelude,Opening Voluntary,John Zundel,"Church Organist's Library, Vol 2",22,
1/15/2023,Postlude,Cornet Voluntary,John Travers,A Catholic Organist's Book of Postludes,22,
1/15/2023,Prelude,Andante tranquillo from Sonata III,Felix Mendelssohn,"Church Organist's Library, Vol 1",148,
1/22/2023,Postlude,Basse De Trompette,Jean-François Dandrieu,A Catholic Organist's Book of Postludes,28,
1/22/2023,Prelude,Adagio in D-flat,Franz Liszt,The Organists' Manual,156,
1/29/2023,Postlude,March in G Major,Henry Smart,"Church Organist's Library, Vol 2",89,
1/29/2023,Prelude,"Prelude in D-flat, ""Raindrop""",Frederic Chopin,Chopin Preludes,35,
2/5/2023,Postlude,Now Thank We All Our God,Russell Schulz-Widmar,"Church Organist's Library, Vol 2",32,
2/12/2023,Postlude,"Herr Jesu Christ, dich zu uns wend",Johann Gottfried Walther,The Organists' Manual,130,
2/12/2023,Prelude,Prelude and Fugue in C major,J.S. Bach,Acht Kleine Praeludium und Fuga,,
2/19/2023,Postlude,Orgelstücke,A. Kehrer,,68,
2/19/2023,Prelude,Preludio,C. Adolfo Bossi,,14,
2/26/2023,Postlude,Toccata in E Minor,Johann Pachelbel,The Organists' Manual,136,
2/26/2023,Prelude,Prelude in G Minor,J.S. Bach,Acht Kleine Praeludium und Fuga,,
3/1/2023,Prelude,Prélude modal,Jean Langlais,The Organists' Manual,118,
3/5/2023,Postlude,Nun lasst uns Gott dem Herren,Johann Pachelbel,"Church Organist's Library, Vol 1",78,
3/5/2023,Prelude,Trio,Josef Rheinberger,The Organists' Manual,114,
3/12/2023,Postlude,Vater unser im Himmelreich,J.S. Bach,The Organists' Manual,134,
3/19/2023,Postlude,Nicaea,Calvin Hampton,"Church Organist's Library, Vol 1",66,
3/19/2023,Prelude,Praeludium,J.S. Bach,"Church Organist's Library, Vol 1",8,
4/2/2023,Postlude,Toccata in C minor,Johann Pachelbel,IMSLP,,
4/16/2023,Offertory,Offertoire,Léon Boëllmann,"Church Organist's Library, Vol 1",10,
4/16/2023,Postlude,Concluding Voluntary,R.G. Thompson,"Church Organist's Library, Vol 2",52,
4/16/2023,Prelude,Praeludium,Hermann Schroeder,The Organists' Manual,144,
4/23/2023,Postlude,Allegro maestoso from Sonata II,Felix Mendelssohn,The Organists' Manual,158,
4/23/2023,Prelude,Antiphon V: How Fair and How Pleasant Art Thou,Marcel Dupré,The Organists' Manual,153,
4/30/2023,Postlude,"Vom Himmel hoch, da komm' ich her",Johann Pachelbel,The Organists' Manual,122,
4/30/2023,Prelude,Schönster Herr Jesu,Hermann Schroeder,The Organists' Manual,132,
5/7/2023,Postlude,Voluntary in D major,Samuel Jackson,"Church Organist's Library, Vol 1",19,
5/14/2023,Postlude,Echo Fanfare,Gilbert M. Martin,Organ Dedications,3,
5/14/2023,Prelude,Voluntary in D major,William Boyce,"Church Organist's Library, Vol 2",55,
5/21/2023,Postlude,Toccata in C major,Johann Pachelbel,IMSLP,,
5/21/2023,Prelude,Orgelstück,Justin Heinrich Knecht,"Church Organist's Library, Vol 1",13,
5/28/2023,Postlude,Basse et Dessus de Trompette,Louis-Nicolas Clérambault,The Organists' Manual,88,
5/28/2023,Prelude,"Prelude, Toccata, and Chaconne",Dietrich Buxtehude,The Organists' Manual,168,
6/4/2023,Offertory,Sonata Pathetique: Adagio sostenuto,Ludwig Van Beethoven,IMSLP,30,
6/4/2023,Postlude,A Mighty Fortress,Calvin Hampton,"Church Organist's Library, Vol 2",37,
6/4/2023,Prelude,Voluntary V,John Stanley,The Organists' Manual,86,
6/11/2023,Prelude,Simple Gifts,Russell Schulz-Widmar,"Church Organist's Library, Vol 1",,
6/11/2023,Offertory,Nocturne,Edvard Grieg,IMSLP,,
6/11/2023,Communion,Consolation No. 3,Franz Liszt,,,
6/11/2023,Postlude,"Dir, dir, Jehova, will ich singen",August Reinhard,"Church Organist's Library, Vol 2",6,
6/18/2023,Prelude,Sonatina for Worship No. 1 - Prelude,Robert W. Jones,"Church Organist's Library, Vol 2",16,
6/18/2023,Offertory,Sonatina for Worship No. 1 - Offertory,Robert W. Jones,"Church Organist's Library, Vol 2",18,
